field_id,label,input_type,options (value|label per line),required (true/false),help_text,output_key,notes
designImplementationStartDate,実装着手の希望時期,date,,FALSE,,designImplementationStartDate,設計・調査フェーズ用：スケジュール（目安）
decisionMaker,判断責任者,text,,TRUE,,decisionMaker,判断・連絡（実装フェーズのみ）
implementationConsultant,実装相談先,text,,TRUE,,implementationConsultant,判断・連絡（実装フェーズのみ）
contactMethod,連絡手段,select,"Slack|Slack
Backlog|Backlog
メール|メール",TRUE,,contactMethod,判断・連絡（実装フェーズのみ）
emergencyContactPolicy,緊急時の連絡方針,textarea,,FALSE,,emergencyContactPolicy,判断・連絡（実装フェーズのみ）
designSpecDecision,仕様・技術判断,text,,FALSE,,designSpecDecision,設計・調査フェーズ用：判断・連絡
designUnclearResponse,不明時の対応,textarea,,FALSE,,designUnclearResponse,設計・調査フェーズ用：判断・連絡
manualPlan,マニュアル作成方針,select,"director|ディレクター作成
implementer|実装側作成（要調整）
later|次フェーズ
tbd|未定",TRUE,,manualPlan,納品後の運用・マニュアル（実装フェーズのみ）
manualScope,作成範囲,textarea,,TRUE,,manualScope,納品後（manualPlan=implementerのとき表示・必須）
manualDeadline,期限,date,,TRUE,,manualDeadline,納品後（manualPlan=implementerのとき表示・必須）
scheduleApproval,スケジュール合意の有無,select,"|選択してください
agreed|合意済
not_agreed|合意なし",TRUE,,scheduleApproval,納品後（manualPlan=implementerのとき表示・必須）
updateOwner,更新担当,select,"クライアント|クライアント
社内|社内
未定|未定",TRUE,,updateOwner,納品後（実装フェーズ）/ 共通
operationExplanation,操作説明,select,"リリース時資料納品|リリース時資料納品
オンライン説明|オンライン説明
次フェーズ|次フェーズ",TRUE,,operationExplanation,納品後（実装フェーズ）/ 共通
designManualPlan,納品後の運用・マニュアル（想定）,textarea,,FALSE,,designManualPlan,設計・調査フェーズ用：納品後の運用・マニュアル（想定）
,,,,,,,
release_url,本番URL（必須）,,,,,,
release_datetime,公開日時（任意）,,,,,,
check_device,確認端末（PC/SP/両方）,,,,,,
check_points,確認観点（チェック式＋自由記述少し）,,,,,,
result,結果（OK/NG/一部NG）,,,,,,
proof,証跡（スクショURL等）,,,,,,
